name,site,subtypes,category,type,phone,full_address,street,city,postal_code,state,us_state,country_code,latitude,longitude,rating,reviews,reviews_link,photos_count,photo,street_view,working_hours,working_hours_old_format,business_status,about,logo,owner_link,location_link,location_reviews_link,place_id
Kelly's K9 Kitchen Alaska,,Pet supply store,Pet supply store,Pet supply store,,"Spenard area, Anchorage, AK 99517",Spenard area,Anchorage,99517,AK,Alabama,US,"61,1904003","-149,9149654",,,,94,https://lh3.googleusercontent.com/p/AF1QipOT3UMEhiyo1vYtMyTNNqz9F54P-Qt_yPJbond3=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOT3UMEhiyo1vYtMyTNNqz9F54P-Qt_yPJbond3=w1600-h1000-k-no,,,OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true, ""Small business"": true}, ""Service options"": {""Curbside pickup"": true, ""Delivery"": true, ""In-store pickup"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh4.googleusercontent.com/-uj6X9adyDIo/AAAAAAAAAAI/AAAAAAAAAAA/zoMkOR3RwMk/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/100368984072811701712,"https://www.google.com/maps/place/Kelly%27s+K9+Kitchen+Alaska/@61.1904003,-149.9149654,14z/data=!4m8!1m2!2m1!1sKelly%27s+K9+Kitchen+Alaska!3m4!1s0x56c897de56d90521:0xdb3102b6bf21cea2!8m2!3d61.1904003!4d-149.9149654","https://www.google.com/maps/place/Kelly%27s+K9+Kitchen+Alaska/@61.1904003,-149.9149654,13.99z/data=!4m16!1m7!3m6!1s0x56c897de56d90521:0xdb3102b6bf21cea2!2sKelly%27s+K9+Kitchen+Alaska!8m2!3d61.1904003!4d-149.9149654!16s%2Fg%2F11ckvg1dmb!3m7!1s0x56c897de56d90521:0xdb3102b6bf21cea2!8m2!3d61.1904003!4d-149.9149654!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJIQXZVt6XyFYRos4hv7YCMds
Quick-Tag,http://www.quick-tag.com/,Pet supply store,Pet supply store,Pet supply store,+1 334-272-0263,"Walmart, 6495 Atlanta Hwy, Montgomery, AL 36117","Walmart, 6495 Atlanta Hwy",Montgomery,36117,AL,Alabama,US,"32,3851579","-86,1848707",,,,2,https://lh3.googleusercontent.com/p/AF1QipNjT3mtVs40YVqmOWJtjqYzawn2g8Pqo_MWSHZp=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNjT3mtVs40YVqmOWJtjqYzawn2g8Pqo_MWSHZp=w1600-h1000-k-no,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true}}",https://lh5.googleusercontent.com/-rD84DxR1dmY/AAAAAAAAAAI/AAAAAAAAAAA/zvYyPhEPm-8/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/108452521858407863470,"https://www.google.com/maps/place/Quick-Tag/@32.385157899999996,-86.18487069999999,14z/data=!4m8!1m2!2m1!1sQuick-Tag!3m4!1s0x888c2b804eb298c7:0xb16bedfc1ec086dd!8m2!3d32.385157899999996!4d-86.18487069999999","https://www.google.com/maps/place/Quick-Tag/@32.385157899999996,-86.18487069999999,13.99z/data=!4m16!1m7!3m6!1s0x888c2b804eb298c7:0xb16bedfc1ec086dd!2sQuick-Tag!8m2!3d32.385157899999996!4d-86.18487069999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c2b804eb298c7:0xb16bedfc1ec086dd!8m2!3d32.385157899999996!4d-86.18487069999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJx5iyToArjIgR3YbAHvzta7E
Kelli's Kritter Kuts,,Pet groomer,Pet groomer,Pet groomer,+1 205-764-4131,"38-04-17-0-000-010.005, Coaling, AL 35453",38-04-17-0-000-010.005,Coaling,35453,AL,Alabama,US,"33,1307489","-87,3928177","4,8",20,"https://search.google.com/local/reviews?placeid=ChIJD8XxPfetiIgR7_jq9QA1NJc&q=pet+groomer,+36255,+Cragford,+AL,+US&authuser=0&hl=en&gl=US",3,https://lh3.googleusercontent.com/p/AF1QipMvkomVTm0Ps2KGImq8WhC0yP3sLd3myAmqNxJ-=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMvkomVTm0Ps2KGImq8WhC0yP3sLd3myAmqNxJ-=w1600-h1000-k-no,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,"https://www.google.com/maps/place/Kelli%27s+Kritter+Kuts/@33.1307489,-87.3928177,14z/data=!4m8!1m2!2m1!1sKelli%27s+Kritter+Kuts!3m4!1s0x8888adf73df1c50f:0x97343500f5eaf8ef!8m2!3d33.1307489!4d-87.3928177","https://www.google.com/maps/place/Kelli%27s+Kritter+Kuts/@33.1307489,-87.3928177,13.99z/data=!4m16!1m7!3m6!1s0x8888adf73df1c50f:0x97343500f5eaf8ef!2sKelli%27s+Kritter+Kuts!8m2!3d33.1307489!4d-87.3928177!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8888adf73df1c50f:0x97343500f5eaf8ef!8m2!3d33.1307489!4d-87.3928177!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJD8XxPfetiIgR7_jq9QA1NJc
Precision Grooming Spa SUPERSTORE Montgomery on Eastdale Circle,https://booking.moego.pet/ol/landing?name=PrecisionGroomingSpaLLC,"Pet groomer, Cat boarding service, Dog day care center, Dog trainer, Pet boarding service, Pet sitter, Pet supply store",Pet groomer,Pet groomer,+1 334-655-1519,"3518 Eastdale Cir, Montgomery, AL 36117",3518 Eastdale Cir,Montgomery,36117,Alabama,Alabama,US,"32,3836024","-86,2021927",5,1169,"https://search.google.com/local/reviews?placeid=ChIJ4x7T1k8rjIgRm6RCO04H2qw&q=pet+groomer,+36111,+Montgomery,+AL,+US&authuser=0&hl=en&gl=US",9618,https://lh3.googleusercontent.com/p/AF1QipO4EARo7U2guF9OJXOJoq24sg32aOmZTuNn3FJ2=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipO4EARo7U2guF9OJXOJoq24sg32aOmZTuNn3FJ2=w1600-h1000-k-no,"{""Monday"": ""6:30AM-5:30PM"", ""Tuesday"": ""6:30AM-5:30PM"", ""Wednesday"": ""6:30AM-5:30PM"", ""Thursday"": ""6:30AM-5:30PM"", ""Friday"": ""6:30AM-5:30PM"", ""Saturday"": ""8AM-5PM"", ""Sunday"": ""8AM-4PM""}",Monday:6:30AM-5:30PM|Tuesday:6:30AM-5:30PM|Wednesday:6:30AM-5:30PM|Thursday:6:30AM-5:30PM|Friday:6:30AM-5:30PM|Saturday:8AM-5PM|Sunday:8AM-4PM,OPERATIONAL,"{""Service options"": {""Outdoor services"": true, ""Onsite services"": true, ""Language assistance"": ""English, Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",https://lh3.googleusercontent.com/-pRIWBNAP6PI/AAAAAAAAAAI/AAAAAAAAAAA/f-jLAR1WSrQ/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/112812800623662252954,"https://www.google.com/maps/place/Precision+Grooming+Spa+SUPERSTORE+Montgomery+on+Eastdale+Circle/@32.3836024,-86.2021927,14z/data=!4m8!1m2!2m1!1sPrecision+Grooming+Spa+SUPERSTORE+Montgomery+on+Eastdale+Circle!3m4!1s0x888c2b4fd6d31ee3:0xacda074e3b42a49b!8m2!3d32.3836024!4d-86.2021927","https://www.google.com/maps/place/Precision+Grooming+Spa+SUPERSTORE+Montgomery+on+Eastdale+Circle/@32.3836024,-86.2021927,13.99z/data=!4m16!1m7!3m6!1s0x888c2b4fd6d31ee3:0xacda074e3b42a49b!2sPrecision+Grooming+Spa+SUPERSTORE+Montgomery+on+Eastdale+Circle!8m2!3d32.3836024!4d-86.2021927!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c2b4fd6d31ee3:0xacda074e3b42a49b!8m2!3d32.3836024!4d-86.2021927!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ4x7T1k8rjIgRm6RCO04H2qw
Mutt Cuts of Montgomery,https://www.facebook.com/muttcutsmontgomery,Pet groomer,Pet groomer,Pet groomer,+1 909-921-8277,"1792 Carter Hill Rd, Montgomery, AL 36106",1792 Carter Hill Rd,Montgomery,36106,Alabama,Alabama,US,"32,3584215","-86,2829808",5,14,"https://search.google.com/local/reviews?placeid=ChIJ03dA7EWBjogRUz9PhvByYiQ&q=pet+groomer,+36111,+Montgomery,+AL,+US&authuser=0&hl=en&gl=US",9,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8H6T3AhWn0m-CdtFGmsUppBmVqnjRUBYsWfsxJt-c8cExTygycuIl4XyNJyhuvjB2YBCZj0HWVlhP2ZBdwgHEVLC3b8xb1Rv_1WK2zYNXw0678Y1UZyZd1HtYhAkWmOBST6LhU=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8H6T3AhWn0m-CdtFGmsUppBmVqnjRUBYsWfsxJt-c8cExTygycuIl4XyNJyhuvjB2YBCZj0HWVlhP2ZBdwgHEVLC3b8xb1Rv_1WK2zYNXw0678Y1UZyZd1HtYhAkWmOBST6LhU=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""Closed""}",Monday:Closed|Tuesday:9AM-5PM|Wednesday:9AM-5PM|Thursday:9AM-5PM|Friday:9AM-5PM|Saturday:9AM-5PM|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",https://lh6.googleusercontent.com/-9sah6EqK7JU/AAAAAAAAAAI/AAAAAAAAAAA/wGy-rR2ScBk/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/104687282323593912299,"https://www.google.com/maps/place/Mutt+Cuts+of+Montgomery/@32.3584215,-86.28298079999999,14z/data=!4m8!1m2!2m1!1sMutt+Cuts+of+Montgomery!3m4!1s0x888e8145ec4077d3:0x246272f0864f3f53!8m2!3d32.3584215!4d-86.28298079999999","https://www.google.com/maps/place/Mutt+Cuts+of+Montgomery/@32.3584215,-86.28298079999999,13.99z/data=!4m16!1m7!3m6!1s0x888e8145ec4077d3:0x246272f0864f3f53!2sMutt+Cuts+of+Montgomery!8m2!3d32.3584215!4d-86.28298079999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888e8145ec4077d3:0x246272f0864f3f53!8m2!3d32.3584215!4d-86.28298079999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ03dA7EWBjogRUz9PhvByYiQ
$10 Easy “Do it Yourself” Dog Wash @ Precision Grooming Spa,https://booking.moego.pet/go/?name=PrecisionGroomingSpaLLC,"Pet groomer, Cat boarding service, Dog day care center, Dog trainer, Dog walker, Pet boarding service, Pet store, Pet supply store, Pet trainer",Pet groomer,Pet groomer,+1 334-655-1519,"Located behind the store near the back door, 3518 Eastdale Cir, Montgomery, AL 36117","Located behind the store near the back door, 3518 Eastdale Cir",Montgomery,36117,Alabama,Alabama,US,"32,3838808","-86,2022493",5,23,"https://search.google.com/local/reviews?placeid=ChIJNwYPWhkrjIgRdMJjsSfPao4&q=pet+groomer,+36111,+Montgomery,+AL,+US&authuser=0&hl=en&gl=US",63,https://lh3.googleusercontent.com/p/AF1QipPgkUw_KpzT22qg50KPaaR28QgH9WZGFPBfTZNO=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPgkUw_KpzT22qg50KPaaR28QgH9WZGFPBfTZNO=w1600-h1000-k-no,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,OPERATIONAL,"{""Service options"": {""Outdoor services"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",https://lh6.googleusercontent.com/-FZK1gFGJGkE/AAAAAAAAAAI/AAAAAAAAAAA/KHhRNF7U7F8/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/114158570807535491753,"https://www.google.com/maps/place/%2410+Easy+%E2%80%9CDo+it+Yourself%E2%80%9D+Dog+Wash+%40+Precision+Grooming+Spa/@32.3838808,-86.20224929999999,14z/data=!4m8!1m2!2m1!1s%2410+Easy+%E2%80%9CDo+it+Yourself%E2%80%9D+Dog+Wash+%40+Precision+Grooming+Spa!3m4!1s0x888c2b195a0f0637:0x8e6acf27b163c274!8m2!3d32.3838808!4d-86.20224929999999","https://www.google.com/maps/place/%2410+Easy+%E2%80%9CDo+it+Yourself%E2%80%9D+Dog+Wash+%40+Precision+Grooming+Spa/@32.3838808,-86.20224929999999,13.99z/data=!4m16!1m7!3m6!1s0x888c2b195a0f0637:0x8e6acf27b163c274!2s%2410+Easy+%E2%80%9CDo+it+Yourself%E2%80%9D+Dog+Wash+%40+Precision+Grooming+Spa!8m2!3d32.3838808!4d-86.20224929999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c2b195a0f0637:0x8e6acf27b163c274!8m2!3d32.3838808!4d-86.20224929999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJNwYPWhkrjIgRdMJjsSfPao4
Wet Pets,,"Pet groomer, Pet store",Pet store,Pet groomer,+1 334-281-2341,"3010 McGehee Rd, Montgomery, AL 36111",3010 McGehee Rd,Montgomery,36111,Alabama,Alabama,US,"32,3370534","-86,260121","4,8",219,"https://search.google.com/local/reviews?placeid=ChIJx2GI3yiAjogRMF_JX1i0t6o&q=pet+groomer,+36111,+Montgomery,+AL,+US&authuser=0&hl=en&gl=US",71,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8_kG9yUsVHIZeYbKVYSGciD9PtnsCJMb-T0N6tad2NCkKC7YTyN2nHH1DsuqwviocRihYDNKvQAAvWDZ6W6Zv5mPWRd-JqeAkIBDZdqC7xzReikg1o7fn68AJW9KA-g81t2yke=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8_kG9yUsVHIZeYbKVYSGciD9PtnsCJMb-T0N6tad2NCkKC7YTyN2nHH1DsuqwviocRihYDNKvQAAvWDZ6W6Zv5mPWRd-JqeAkIBDZdqC7xzReikg1o7fn68AJW9KA-g81t2yke=w1600-h1000-k-no,"{""Monday"": ""10AM-6PM"", ""Tuesday"": ""10AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""10AM-6PM"", ""Friday"": ""10AM-6PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""Closed""}",Monday:10AM-6PM|Tuesday:10AM-6PM|Wednesday:10AM-6PM|Thursday:10AM-6PM|Friday:10AM-6PM|Saturday:10AM-5PM|Sunday:Closed,OPERATIONAL,"{""From the business"": {""Small business"": true}, ""Service options"": {""In-store pickup"": true, ""Delivery"": false, ""Same-day delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",https://lh6.googleusercontent.com/-zkCPtPteIms/AAAAAAAAAAI/AAAAAAAAAAA/Cu7155RpOr0/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/115897862629563621709,"https://www.google.com/maps/place/Wet+Pets/@32.3370534,-86.260121,14z/data=!4m8!1m2!2m1!1sWet+Pets!3m4!1s0x888e8028df8861c7:0xaab7b4585fc95f30!8m2!3d32.3370534!4d-86.260121","https://www.google.com/maps/place/Wet+Pets/@32.3370534,-86.260121,13.99z/data=!4m16!1m7!3m6!1s0x888e8028df8861c7:0xaab7b4585fc95f30!2sWet+Pets!8m2!3d32.3370534!4d-86.260121!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888e8028df8861c7:0xaab7b4585fc95f30!8m2!3d32.3370534!4d-86.260121!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJx2GI3yiAjogRMF_JX1i0t6o
Groomin Tails Pet Salon,http://www.groomintails.com/,Pet groomer,Pet groomer,Pet groomer,+1 334-260-8245,"420 Coliseum Blvd, Montgomery, AL 36109",420 Coliseum Blvd,Montgomery,36109,Alabama,Alabama,US,"32,3908449","-86,2569472","4,7",76,"https://search.google.com/local/reviews?placeid=ChIJYytX-v-BjogRwORa0PTOwjA&q=pet+groomer,+36111,+Montgomery,+AL,+US&authuser=0&hl=en&gl=US",26,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8_ljSGoGXpKUQRUnn8dAgrTFcfxfQ2feXINJ6oj1Vv7NxoeNKzdgOu45-Ff4x2hO9hb6WqN39pJcrEWQalYddi1OWBWGorF-zFxmBdoOg5Q9kiy7VsAddmORcUxbEXCfS-fQk=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8_ljSGoGXpKUQRUnn8dAgrTFcfxfQ2feXINJ6oj1Vv7NxoeNKzdgOu45-Ff4x2hO9hb6WqN39pJcrEWQalYddi1OWBWGorF-zFxmBdoOg5Q9kiy7VsAddmORcUxbEXCfS-fQk=w1600-h1000-k-no,"{""Monday"": ""6:30AM-5PM"", ""Tuesday"": ""6:30AM-5PM"", ""Wednesday"": ""6:30AM-5PM"", ""Thursday"": ""6:30AM-5PM"", ""Friday"": ""6:30AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:6:30AM-5PM|Tuesday:6:30AM-5PM|Wednesday:6:30AM-5PM|Thursday:6:30AM-5PM|Friday:6:30AM-5PM|Saturday:Closed|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",https://lh6.googleusercontent.com/-0AYGSrRS2VE/AAAAAAAAAAI/AAAAAAAAAAA/_vJooiLg_Yw/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/106289675677581180932,"https://www.google.com/maps/place/Groomin+Tails+Pet+Salon/@32.3908449,-86.2569472,14z/data=!4m8!1m2!2m1!1sGroomin+Tails+Pet+Salon!3m4!1s0x888e81fffa572b63:0x30c2cef4d05ae4c0!8m2!3d32.3908449!4d-86.2569472","https://www.google.com/maps/place/Groomin+Tails+Pet+Salon/@32.3908449,-86.2569472,13.99z/data=!4m16!1m7!3m6!1s0x888e81fffa572b63:0x30c2cef4d05ae4c0!2sGroomin+Tails+Pet+Salon!8m2!3d32.3908449!4d-86.2569472!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888e81fffa572b63:0x30c2cef4d05ae4c0!8m2!3d32.3908449!4d-86.2569472!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJYytX-v-BjogRwORa0PTOwjA
Barking Lot Groom Salon,,Pet groomer,Pet groomer,Pet groomer,+1 334-244-6595,"650 N Eastern Blvd, Montgomery, AL 36117",650 N Eastern Blvd,Montgomery,36117,Alabama,Alabama,US,"32,4010321","-86,212244","4,8",95,"https://search.google.com/local/reviews?placeid=ChIJw_GwdncpjIgRxh-UtmsKnbw&q=pet+groomer,+36111,+Montgomery,+AL,+US&authuser=0&hl=en&gl=US",26,https://lh3.googleusercontent.com/gps-cs-s/AB5caB_vkRcUCkNBeVKg9h1tbRNMUcHsEQvPHyl_5OzjwyG865zxA0qsvW4Z49Q8C2pi-2g0YCQE3Gik9Uk0Qqn8m9osigZQ-WG25pxu-dzNkk4a7ZS3OzN5wcwqnzoE_qxu-GwDglVD=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AB5caB_vkRcUCkNBeVKg9h1tbRNMUcHsEQvPHyl_5OzjwyG865zxA0qsvW4Z49Q8C2pi-2g0YCQE3Gik9Uk0Qqn8m9osigZQ-WG25pxu-dzNkk4a7ZS3OzN5wcwqnzoE_qxu-GwDglVD=w1600-h1000-k-no,"{""Monday"": ""7AM-5:30PM"", ""Tuesday"": ""7AM-5:30PM"", ""Wednesday"": ""7AM-5:30PM"", ""Thursday"": ""7AM-5:30PM"", ""Friday"": ""7AM-5:30PM"", ""Saturday"": ""7AM-12PM"", ""Sunday"": ""Closed""}",Monday:7AM-5:30PM|Tuesday:7AM-5:30PM|Wednesday:7AM-5:30PM|Thursday:7AM-5:30PM|Friday:7AM-5:30PM|Saturday:7AM-12PM|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,"https://www.google.com/maps/place/Barking+Lot+Groom+Salon/@32.4010321,-86.212244,14z/data=!4m8!1m2!2m1!1sBarking+Lot+Groom+Salon!3m4!1s0x888c297776b0f1c3:0xbc9d0a6bb6941fc6!8m2!3d32.4010321!4d-86.212244","https://www.google.com/maps/place/Barking+Lot+Groom+Salon/@32.4010321,-86.212244,13.99z/data=!4m16!1m7!3m6!1s0x888c297776b0f1c3:0xbc9d0a6bb6941fc6!2sBarking+Lot+Groom+Salon!8m2!3d32.4010321!4d-86.212244!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c297776b0f1c3:0xbc9d0a6bb6941fc6!8m2!3d32.4010321!4d-86.212244!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJw_GwdncpjIgRxh-UtmsKnbw
Barkey's Boutique Grooming Salon,,Pet groomer,Pet groomer,Pet groomer,+1 334-320-8545,"620 Oliver Rd Unit D1, Montgomery, AL 36117",620 Oliver Rd Unit D1,Montgomery,36117,Alabama,Alabama,US,"32,3974049","-86,2064388","4,9",35,"https://search.google.com/local/reviews?placeid=ChIJ3cVYX_b9BKARVnPKWOGAAss&q=pet+groomer,+36111,+Montgomery,+AL,+US&authuser=0&hl=en&gl=US",24,https://lh3.googleusercontent.com/p/AF1QipNHQb7lbJTssGZtwiftc2gKHRxlNXl4b-c8u3ub=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNHQb7lbJTssGZtwiftc2gKHRxlNXl4b-c8u3ub=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-5PM"", ""Sunday"": ""Closed""}",Monday:Closed|Tuesday:Closed|Wednesday:7AM-5PM|Thursday:7AM-5PM|Friday:7AM-5PM|Saturday:7AM-5PM|Sunday:Closed,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",https://lh3.googleusercontent.com/-6-u7hqBJy1A/AAAAAAAAAAI/AAAAAAAAAAA/r4aOtR8HzzE/s44-p-k-no-ns-nd/photo.jpg,https://www.google.com/maps/contrib/104673579850132944873,"https://www.google.com/maps/place/Barkey%27s+Boutique+Grooming+Salon/@32.3974049,-86.2064388,14z/data=!4m8!1m2!2m1!1sBarkey%27s+Boutique+Grooming+Salon!3m4!1s0xa004fdf65f58c5dd:0xcb0280e158ca7356!8m2!3d32.3974049!4d-86.2064388","https://www.google.com/maps/place/Barkey%27s+Boutique+Grooming+Salon/@32.3974049,-86.2064388,13.99z/data=!4m16!1m7!3m6!1s0xa004fdf65f58c5dd:0xcb0280e158ca7356!2sBarkey%27s+Boutique+Grooming+Salon!8m2!3d32.3974049!4d-86.2064388!16s%2Fg%2F11ckvg1dmb!3m7!1s0xa004fdf65f58c5dd:0xcb0280e158ca7356!8m2!3d32.3974049!4d-86.2064388!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJ3cVYX_b9BKARVnPKWOGAAss
